Usia,Angsuran,Pendapatan,Tenor,OTR,Uang_Muka,Pekerjaan,Status_Rumah,KKB,cluster
25,230000,2892269,23,5000000,2000000,1,1,1,0
21,860000,2238924,11,12700000,5700000,1,0,1,0
35,500000,3384000,11,6700000,2700000,1,1,1,0
43,600000,6000000,23,17000000,9000000,5,1,0,0
37,680000,7000000,23,16000000,6000000,0,1,1,0
28,1220000,7500000,23,35000000,18000000,10,1,0,0
41,1440000,9100000,23,35000000,15000000,10,1,0,0
29,370000,2692812,17,7000000,3000000,1,1,1,0
35,280000,2500000,17,5000000,2000000,5,1,1,0
32,3250000,30000000,29,120000000,60000000,10,1,0,2
28,370000,4777005,11,6200000,3200000,1,1,1,0
49,1440000,6000000,23,35000000,15000000,10,1,0,0
41,470000,3500000,17,75000000,25000000,10,1,1,2
32,600000,1998000,23,15000000,7000000,1,0,0,0
31,740000,4500000,11,10000000,4000000,5,1,1,0
42,370000,4000000,11,5500000,2500000,10,1,1,0
28,370000,3270525,11,5000000,2000000,1,0,1,0
43,620000,2820930,11,35000000,30000000,1,1,0,0
45,4780000,50000000,35,180000000,80000000,10,1,0,2
57,1220000,6000000,23,25000000,8000000,10,1,0,0
22,500000,1604000,11,7000000,3000000,1,0,1,0
39,2060000,9000000,23,50000000,20000000,10,1,0,0
67,2380000,14000000,11,45000000,25000000,0,1,1,0
26,500000,5383626,11,11000000,7000000,1,0,1,0
36,390000,3200000,23,15000000,10000000,0,1,0,0
34,680000,1800000,23,17000000,8000000,1,0,0,0
35,2160000,3000000,17,50000000,25000000,0,1,0,0
32,550000,2000000,17,9500000,3500000,5,1,1,0
33,2390000,5000000,35,145000000,95000000,5,1,0,2
53,4680000,1200000000,23,150000000,75000000,0,1,0,1
32,280000,3000000,17,5000000,2000000,10,0,1,0
32,4680000,1200000000,23,150000000,75000000,0,1,0,1
45,740000,4000000,11,10500000,4500000,10,0,1,0
37,2550000,36000000,5,25000000,14000000,5,1,0,0
26,500000,2489327,11,7000000,3000000,1,0,1,0
29,470000,2300000,17,10000000,5000000,1,0,1,0
25,750000,3700000,23,25000000,10000000,0,0,0,0
38,470000,2500000,17,8500000,3500000,1,1,1,0
51,1760000,6000000,17,40000000,20000000,0,1,0,0
41,880000,2500000,23,20000000,8000000,5,1,1,0
53,3440000,100000000,23,105000000,50000000,0,1,0,2
53,4060000,100000000,23,130000000,65000000,0,1,0,2
28,1170000,12500000,17,30000000,17000000,5,0,0,0
33,500000,3798646,11,6300000,2300000,1,0,1,0
25,310000,3701199,23,6300000,2300000,1,0,1,0
24,550000,4340000,17,16000000,10000000,1,0,0,0
41,370000,2842200,17,7000000,3000000,1,1,1,0
50,3590000,122000000,35,140000000,65000000,0,1,0,2
18,280000,1869150,17,5300000,2300000,1,0,1,0
40,1340000,4500000,17,28000000,13000000,10,1,0,0
51,1340000,3000000,17,30000000,15000000,10,1,0,0
31,640000,5000000,17,14000000,7000000,10,0,0,0
20,500000,2700000,11,9000000,5000000,1,0,1,0
29,4060000,62500000,23,130000000,65000000,0,1,0,2
35,550000,6000000,17,9500000,3500000,10,1,1,0
41,2620000,63000000,23,120000000,80000000,0,1,0,2
47,1220000,4550000,11,30000000,20000000,0,1,0,0
44,1930000,9000000,23,50000000,22000000,10,1,0,0
51,1100000,5000000,23,23000000,8000000,10,1,0,0
58,2060000,7700000,29,65000000,30000000,0,1,0,2
57,1220000,5000000,23,27000000,10000000,5,1,0,0
25,370000,3395000,17,6200000,2200000,1,0,1,0
53,3750000,10000000,23,110000000,50000000,0,1,0,2
57,450000,1000000,23,16000000,10000000,6,1,0,0
44,1440000,3300000,23,50000000,30000000,1,0,0,0
33,1440000,3400000,23,35000000,15000000,1,0,0,0
38,990000,5000000,17,25000000,14000000,0,1,0,0
37,1100000,5000000,23,30000000,15000000,0,1,0,0
43,4680000,70400000,23,140000000,65000000,0,1,0,2
43,4680000,70400000,23,140000000,65000000,0,1,0,2
29,1300000,2445000,23,31000000,13000000,1,0,0,0
53,280000,6000000,17,7000000,4000000,10,1,1,0
32,3830000,72000000,35,140000000,60000000,0,1,0,2
49,550000,1500000,17,10000000,4000000,10,1,1,0
35,370000,5000000,17,8000000,4000000,1,1,1,0
41,750000,5000000,23,18000000,8000000,10,1,0,0
37,1440000,1600000,23,45000000,25000000,1,0,0,0
31,390000,2000000,23,8000000,3000000,1,1,1,0
53,15340000,72000000,11,290000000,150000000,0,1,0,2
